Record,Correct,Wrong,Percent,week
12-4,12,4,0.75,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
12-4,12,4,0.75,1
11-5,11,5,0.6875,1
9-7,9,7,0.5625,1
9-7,9,7,0.5625,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
14-2,14,2,0.875,2
14-2,14,2,0.875,2
13-3,13,3,0.8125,2
13-3,13,3,0.8125,2
11-5,11,5,0.6875,2
15-1,15,1,0.9375,2
15-1,15,1,0.9375,2
13-3,13,3,0.8125,2
10-5,10,5,0.6666666666666666,3
7-8,7,8,0.4666666666666667,3
6-9,6,9,0.4,3
8-7,8,7,0.5333333333333333,3
12-3,12,3,0.8,3
9-6,9,6,0.6,3
9-6,9,6,0.6,3
11-4,11,4,0.7333333333333333,4
11-4,11,4,0.7333333333333333,4
8-7,8,7,0.5333333333333333,4
9-6,9,6,0.6,4
11-4,11,4,0.7333333333333333,4
11-4,11,4,0.7333333333333333,4
8-7,8,7,0.5333333333333333,4
8-7,8,7,0.5333333333333333,4
11-4,11,4,0.7333333333333333,4
10-4,10,4,0.7142857142857143,5
8-6,8,6,0.5714285714285714,5
9-5,9,5,0.6428571428571429,5
10-4,10,4,0.7142857142857143,5
10-4,10,4,0.7142857142857143,5
11-3,11,3,0.7857142857142857,5
9-5,9,5,0.6428571428571429,5
8-6,8,6,0.5714285714285714,5
9-5,9,5,0.6428571428571429,5
9-5,9,5,0.6428571428571429,6
11-3,11,3,0.7857142857142857,6
9-5,9,5,0.6428571428571429,6
9-5,9,5,0.6428571428571429,6
9-5,9,5,0.6428571428571429,6
7-7,7,7,0.5,6
7-7,7,7,0.5,6
7-7,7,7,0.5,6
9-5,9,5,0.6428571428571429,6
9-5,9,5,0.6428571428571429,7
9-5,9,5,0.6428571428571429,7
8-6,8,6,0.5714285714285714,7
13-1,13,1,0.9285714285714286,7
10-4,10,4,0.7142857142857143,7
9-5,9,5,0.6428571428571429,7
9-5,9,5,0.6428571428571429,7
8-6,8,6,0.5714285714285714,7
11-3,11,3,0.7857142857142857,7
9-5,9,5,0.6428571428571429,8
7-7,7,7,0.5,8
6-8,6,8,0.42857142857142855,8
7-7,7,7,0.5,8
8-6,8,6,0.5714285714285714,8
7-7,7,7,0.5,8
6-8,6,8,0.42857142857142855,8
9-5,9,5,0.6428571428571429,8
6-8,6,8,0.42857142857142855,8
10-4,10,4,0.7142857142857143,9
9-5,9,5,0.6428571428571429,9
11-3,11,3,0.7857142857142857,9
12-2,12,2,0.8571428571428571,9
8-6,8,6,0.5714285714285714,9
9-5,9,5,0.6428571428571429,9
11-3,11,3,0.7857142857142857,9
11-3,11,3,0.7857142857142857,9
10-4,10,4,0.7142857142857143,9
11-3,11,3,0.7857142857142857,10
10-4,10,4,0.7142857142857143,10
8-6,8,6,0.5714285714285714,10
9-5,9,5,0.6428571428571429,10
11-3,11,3,0.7857142857142857,10
8-6,8,6,0.5714285714285714,10
10-4,10,4,0.7142857142857143,10
9-5,9,5,0.6428571428571429,10
10-4,10,4,0.7142857142857143,10
5-9,5,9,0.35714285714285715,11
8-6,8,6,0.5714285714285714,11
9-5,9,5,0.6428571428571429,11
6-8,6,8,0.42857142857142855,11
8-6,8,6,0.5714285714285714,11
5-9,5,9,0.35714285714285715,11
7-7,7,7,0.5,11
8-6,8,6,0.5714285714285714,11
8-6,8,6,0.5714285714285714,11
11-5,11,5,0.6875,12
12-4,12,4,0.75,12
11-5,11,5,0.6875,12
10-6,10,6,0.625,12
12-4,12,4,0.75,12
11-5,11,5,0.6875,12
12-4,12,4,0.75,12
12-4,12,4,0.75,12
11-5,11,5,0.6875,12
12-3,12,3,0.8,13
9-6,9,6,0.6,13
10-5,10,5,0.6666666666666666,13
12-3,12,3,0.8,13
10-5,10,5,0.6666666666666666,13
10-5,10,5,0.6666666666666666,13
10-5,10,5,0.6666666666666666,13
9-6,9,6,0.6,13
10-5,10,5,0.6666666666666666,13
9-7,9,7,0.5625,14
12-4,12,4,0.75,14
11-5,11,5,0.6875,14
12-4,12,4,0.75,14
10-6,10,6,0.625,14
12-4,12,4,0.75,14
7-9,7,9,0.4375,14
9-7,9,7,0.5625,14
8-8,8,8,0.5,14
11-5,11,5,0.6875,15
11-5,11,5,0.6875,15
9-7,9,7,0.5625,15
11-5,11,5,0.6875,15
12-4,12,4,0.75,15
12-4,12,4,0.75,15
12-4,12,4,0.75,15
10-6,10,6,0.625,15
11-5,11,5,0.6875,15
9-7,9,7,0.5625,16
10-6,10,6,0.625,16
8-8,8,8,0.5,16
9-7,9,7,0.5625,16
10-6,10,6,0.625,16
11-5,11,5,0.6875,16
11-5,11,5,0.6875,16
9-7,9,7,0.5625,16
7-9,7,9,0.4375,16
13-3,13,3,0.8125,17
9-7,9,7,0.5625,17
9-7,9,7,0.5625,17
13-3,13,3,0.8125,17
10-6,10,6,0.625,17
13-3,13,3,0.8125,17
13-3,13,3,0.8125,17
12-4,12,4,0.75,17
13-3,13,3,0.8125,17
