Correct,Wrong,Tie,Percent,week
9,7,0,0.5625,1
10,6,0,0.625,1
7,9,0,0.4375,1
8,8,0,0.5,1
8,8,0,0.5,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
23,9,0,0.71875,2
23,9,0,0.71875,2
19,13,0,0.59375,2
21,11,0,0.65625,2
22,10,0,0.6875,2
22,10,0,0.6875,2
22,10,0,0.6875,2
26,6,0,0.8125,2
33,14,1,0.6875,3
33,14,1,0.6875,3
25,22,1,0.5208333333333334,3
29,18,1,0.6041666666666666,3
30,17,1,0.625,3
32,15,1,0.6666666666666666,3
32,15,1,0.6666666666666666,3
35,12,1,0.7291666666666666,3
43,19,1,0.6825396825396826,4
41,21,1,0.6507936507936508,4
34,28,1,0.5396825396825397,4
41,21,1,0.6507936507936508,4
40,22,1,0.6349206349206349,4
41,21,1,0.6507936507936508,4
41,21,1,0.6507936507936508,4
45,17,1,0.7142857142857143,4
51,24,1,0.6710526315789473,5
51,24,1,0.6710526315789473,5
43,32,1,0.5657894736842105,5
50,25,1,0.6578947368421053,5
48,27,1,0.631578947368421,5
51,24,1,0.6710526315789473,5
51,24,1,0.6710526315789473,5
54,21,1,0.7105263157894737,5
59,30,1,0.6555555555555556,6
59,30,1,0.6555555555555556,6
53,36,1,0.5888888888888889,6
58,31,1,0.6444444444444445,6
57,32,1,0.6333333333333333,6
59,30,1,0.6555555555555556,6
62,27,1,0.6888888888888889,6
63,26,1,0.7,6
71,32,1,0.6826923076923077,7
69,34,1,0.6634615384615384,7
65,38,1,0.625,7
69,34,1,0.6634615384615384,7
67,36,1,0.6442307692307693,7
66,37,1,0.6346153846153846,7
71,32,1,0.6826923076923077,7
74,29,1,0.7115384615384616,7
80,37,1,0.6779661016949152,8
78,39,1,0.6610169491525424,8
69,48,1,0.5847457627118644,8
77,40,1,0.652542372881356,8
74,43,1,0.6271186440677966,8
73,44,1,0.6186440677966102,8
79,38,1,0.6694915254237288,8
82,35,1,0.6949152542372882,8
89,42,1,0.6742424242424242,9
87,44,1,0.6590909090909091,9
76,55,1,0.5757575757575758,9
87,44,1,0.6590909090909091,9
82,49,1,0.6212121212121212,9
81,50,1,0.6136363636363636,9
88,43,1,0.6666666666666666,9
92,39,1,0.696969696969697,9
98,47,1,0.6712328767123288,10
97,48,1,0.6643835616438356,10
85,60,1,0.5821917808219178,10
96,49,1,0.6575342465753424,10
91,54,1,0.6232876712328768,10
92,53,1,0.6301369863013698,10
94,51,1,0.6438356164383562,10
104,41,1,0.7123287671232876,10
104,55,1,0.65,11
103,56,1,0.64375,11
92,67,1,0.575,11
104,55,1,0.65,11
97,62,1,0.60625,11
100,59,1,0.625,11
101,58,1,0.63125,11
109,50,1,0.68125,11
114,61,1,0.6477272727272727,12
114,61,1,0.6477272727272727,12
100,75,1,0.5681818181818182,12
116,59,1,0.6590909090909091,12
109,66,1,0.6193181818181818,12
112,63,1,0.6363636363636364,12
115,60,1,0.6534090909090909,12
120,55,1,0.6818181818181818,12
123,67,1,0.643979057591623,13
127,63,1,0.6649214659685864,13
109,81,1,0.5706806282722513,13
124,66,1,0.6492146596858639,13
119,71,1,0.6230366492146597,13
124,66,1,0.6492146596858639,13
121,69,1,0.6335078534031413,13
129,61,1,0.675392670157068,13
134,72,1,0.6473429951690821,14
135,71,1,0.6521739130434783,14
121,85,1,0.5845410628019324,14
136,70,1,0.6570048309178744,14
130,76,1,0.6280193236714976,14
135,71,1,0.6521739130434783,14
131,75,1,0.6328502415458938,14
139,67,1,0.6714975845410628,14
147,75,1,0.6591928251121076,15
142,79,1,0.6396396396396397,15
131,91,1,0.5874439461883408,15
147,75,1,0.6591928251121076,15
141,81,1,0.6322869955156951,15
147,75,1,0.6591928251121076,15
143,79,1,0.6412556053811659,15
149,73,1,0.6681614349775785,15
158,80,1,0.6610878661087866,16
153,84,1,0.6428571428571429,16
139,99,1,0.5815899581589958,16
156,82,1,0.6527196652719666,16
152,86,1,0.6359832635983264,16
157,81,1,0.6569037656903766,16
153,85,1,0.6401673640167364,16
158,80,1,0.6610878661087866,16
169,85,1,0.6627450980392157,17
161,92,1,0.6338582677165354,17
148,106,1,0.5803921568627451,17
169,85,1,0.6627450980392157,17
164,90,1,0.6431372549019608,17
170,84,1,0.6666666666666666,17
166,88,1,0.6509803921568628,17
172,82,1,0.6745098039215687,17
